time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1786280646999886000,365.17988598632815,39.141171131283045,1.019445310362408,7.256946804132763,51.81520425872495,39.551171127706766,266.3414001464844,10.503011623087476,5.402394595281756,46.398466172234194,15.100099836065697
1786280647999893800,366.1798937988281,39.752254789695144,1.0277178440341277,7.258968725807882,51.815193875875764,40.162254786118865,266.3414001464844,7.733012092347639,3.766225722132721,46.3982175918058,15.245971139934804
1786280648999901700,367.17990161132815,39.940956173464656,1.0152199988360808,7.25897352268668,51.81518812314704,40.35095616988838,266.3414001464844,6.028027091967161,3,46.39795968077932,15.58343790185713
1786280649999910400,368.1799104003906,40.61372955329716,1.5066409460851922,7.626393997135664,51.81518149327976,41.02372954972088,266.21710205078125,7.356912934705365,3.813168652290883,46.397678344423035,16.007645830540106
1786280650999917600,369.17991748046876,40.804988271556795,1.1406364229362203,7.2583382038232624,51.81516538105151,41.214988267980516,266.21710205078125,7.356913074634961,3.8163917099399507,46.397457986281836,15.899834710057256
1786280651999927000,370.1799270019531,40.874977715313435,1.053110761372072,7.25853480795511,51.8151370117884,41.284977711737156,271.2345886230469,6.666340333000561,3.1476910972232606,46.39719695644662,16.302012066155346
1786280652999934700,371.17993481445313,40.83299316465855,1.014548336802705,7.258973490231409,51.81510660132861,41.24299316108227,271.2345886230469,7.849440336258103,3.892645453140338,46.396950575175566,16.177118936922547
1786280653999941400,372.17994140625,41.31465546134859,1.0168609253722807,7.258543970268669,51.81511448220444,41.724655457772315,271.2345886230469,8.277958299650962,4.02721074053983,46.39670227194273,16.144061018296206
1786280654999949600,373.17994946289065,41.68350903503597,1.0466235682352776,7.2585509839534135,51.81512689618045,42.09350903145969,274.6830749511719,4.677448004214361,3,46.396467132514026,16.140156572722464
1786280655999958500,374.1799584960938,42.07928524073213,1.0565551450425377,7.258388663986943,51.81509365495581,42.489285237155855,269.7129133644487,4.343948738839263,3,46.39624161659612,15.994548270602424
1786280656999966500,375.17996655273436,42.48074394278228,1.4851183517331874,7.380347618034581,51.81510018597571,42.890743939206004,269.1597122334574,3.6030310833712753,3,46.39599625388114,16.304969810855034
1786280657999974100,376.1799741210938,43.18314711842686,1.282229326928699,7.257773242287834,51.81509038642335,43.59314711485058,268.98201625010745,3.646842051240586,3,46.3957547887929,16.794594018180234
1786280658999981800,377.17998193359375,43.73060672264546,1.5191898874739487,7.297018063195029,51.815088009086224,44.14060671906918,268.7856358888567,4.922400954986067,3,46.39551078810625,16.86722133853225
1786280659999990000,378.1799899902344,44.143817816860974,1.2479886999028456,7.257039302408648,51.81518222586879,44.553817813284695,277.58452717368374,3.1893297611332203,3,46.39528806132655,16.85223679392468
1786280660999997200,379.1799970703125,44.389666529372334,1.040788228458632,7.2576895538276025,51.81523399750979,44.799666525796056,276.9978942871094,3.1038057715350615,3,46.39497786204209,18.39038601516099
1786280662000004900,380.1800048828125,45.207971897907555,1.0172655487342535,7.257073623900772,51.81525812468907,45.617971894331276,276.7927551269531,3.3846170848555563,3,46.39466399649476,19.36121802862732
1786280663000013300,381.18001342773437,44.48848035847623,0.5484516620635986,1.5798586135170933,51.8152871236367,44.89848035489995,277.16033935546875,14,3,46.3942866521828,19.861644744873047
1786280664000021200,382.1800212402344,45.09444792645312,0.5471599698066711,1.5779214011137486,51.81531512419218,45.50444792287684,278.26788330078125,14,3,46.39398226007769,19.861644744873047
